"","pi_D08","is_ok","CO2.PPM.","SIO2.WT..","TIO2.WT..","AL2O3.WT..","FeOT_calc","MGO.WT..","CAO.WT..","NA2O.WT..","K2O.WT..","P2O5.WT..","NB.PPM.","CE.PPM.","LA.PPM."
"33",NA,0,1.73239375982297,50.89,2.55,13.38,8.31,10.13,11.18,2.18,0.335,0.41,NA,NA,NA
"34",NA,0,1.30102999566398,50.74,2.46,12.69,9.17,11.53,9.98,2.15,0.426,0.2,NA,NA,NA
"35",NA,0,1.69019608002851,51.88,2.29,12.55,9.3,11.11,9.5,2.29,0.362,0.25,NA,NA,NA
"36",NA,0,1.75587485567249,52.58,2.01,12.56,9.01,11.32,9.16,2.31,0.349,0.21,NA,NA,NA
"37",NA,0,1.77815125038364,51,2.81,13.08,7.5,11.68,10.21,2.15,0.516,0.3,NA,NA,NA
"38",NA,0,1.44715803134222,51.55,2.46,12.64,8.11,11.66,10.12,2.26,0.473,0.26,NA,NA,NA
"39",NA,0,2.25285303097989,51.97,2.31,12.98,6.93,11.16,9.98,2.49,0.487,0.23,NA,NA,NA
"40",NA,0,1.30102999566398,50.58,2.42,12.74,10.69,11.03,9.41,2.11,0.37,0.21,NA,NA,NA
"41",NA,0,2.42813479402879,50.35,2.79,12.71,10.87,10.2,9.63,2.19,0.341,0.21,NA,NA,NA
"42",NA,0,2.46389298898591,50.25,2.78,13.01,10.47,10.03,10.01,2.21,0.298,0.28,NA,NA,NA
"43",NA,0,2.38916608436453,50.35,2.65,13.03,10.3,10.5,9.73,2.29,0.35,0.22,NA,NA,NA
"44",NA,0,2.13987908640124,51.26,2.46,12.97,9.05,10.54,10.42,2.24,0.28,0.24,NA,NA,NA
"45",NA,0,1.5910646070265,51.14,2.27,12.82,8.42,11.52,10.07,2.19,0.355,0.24,NA,NA,NA
"46",NA,0,0.954242509439325,49.51,2.51,12.78,10.09,11.26,9.92,2.17,0.434,0.28,NA,NA,NA
"47",NA,0,2.12057393120585,50.85,2.4,12.68,9.55,11.69,10.08,2.21,0.385,0.2,NA,NA,NA
"48",NA,0,1.77815125038364,50.65,2.69,13.43,8.09,10.54,11.4,2.03,0.528,0.28,NA,NA,NA
